mode,max_memory_mb,query_id,query,iteration,time_millis,memory_usage_bytes,disk_usage_bytes,total_entries,disk_evictions
DataFusionDefault,,39,"SELECT ""TraficSourceID"", ""SearchEngineID"", ""AdvEngineID"", CASE WHEN (""SearchEngi",1,335,,,,
DataFusionDefault,,39,"SELECT ""TraficSourceID"", ""SearchEngineID"", ""AdvEngineID"", CASE WHEN (""SearchEngi",2,336,,,,
DataFusionDefault,,40,"SELECT ""URLHash"", ""EventDate""::INT::DATE, COUNT(*) AS PageViews FROM hits WHERE ",0,47,,,,
DataFusionDefault,,40,"SELECT ""URLHash"", ""EventDate""::INT::DATE, COUNT(*) AS PageViews FROM hits WHERE ",1,38,,,,
DataFusionDefault,,40,"SELECT ""URLHash"", ""EventDate""::INT::DATE, COUNT(*) AS PageViews FROM hits WHERE ",2,35,,,,
DataFusionDefault,,41,"SELECT ""WindowClientWidth"", ""WindowClientHeight"", COUNT(*) AS PageViews FROM hit",0,33,,,,
DataFusionDefault,,41,"SELECT ""WindowClientWidth"", ""WindowClientHeight"", COUNT(*) AS PageViews FROM hit",1,32,,,,
DataFusionDefault,,41,"SELECT ""WindowClientWidth"", ""WindowClientHeight"", COUNT(*) AS PageViews FROM hit",2,32,,,,
DataFusionDefault,,42,"SELECT DATE_TRUNC('minute', to_timestamp_seconds(""EventTime"")) AS M, COUNT(*) AS",0,30,,,,
DataFusionDefault,,42,"SELECT DATE_TRUNC('minute', to_timestamp_seconds(""EventTime"")) AS M, COUNT(*) AS",1,30,,,,
DataFusionDefault,,42,"SELECT DATE_TRUNC('minute', to_timestamp_seconds(""EventTime"")) AS M, COUNT(*) AS",2,61,,,,
